"id","category_id","product_name","base_price","description","stock_quantity","is_active"
"B000GH2QYA","2","Panasonic クリップヘッドホン ブラック RP-HZ47-K","736.00","軽量で快適な耳掛け式デザイン | パナソニックの高音質技術でクリアなサウンド | 絡まりにくい1mコードを採用 | 長時間の使用でも疲れにくい","0","1"
"B09FS94K3P","2","ワイヤレス ヘッドホン KVIDIO Bluetooth 5.3 65時間再生 ヘッドホン 40mm HD ドライバーユニット オーバーイヤーヘッドホン マイク内蔵 ヘッドホン 有線 無線 両用 遮音 密閉型 ハンズフリー通話可能 ブルートゥース ヘッドフォン ブラック (黒)","2599.00","Bluetooth 5.3で安定接続 | 最大65時間の長時間再生 | 40mm HDドライバーで迫力のサウンド | ノイズキャンセリングマイクでクリアな通話 | 折りたたみ式で持ち運び便利","0","1"
"B079QB3DS5","2","【Amazon.co.jp限定】ロジクール ヘッドセット H111r ステレオ 3.5mm接続 ノイズキャンセリング マイク 軽量 ヘッドフォン windows mac Chrome テレワーク リモートワーク Web会議 国内正規品 2年間メーカー保証","1800.00","軽量設計で長時間快適 | ノイズキャンセリングマイクでクリアな通話 | 3.5mm接続で幅広いデバイスに対応 | テレワークやWeb会議に最適 | 2年間の安心保証","0","1"
"B0C6MK4LXR","2","Anker Soundcore Space One (Bluetooth 5.3 ワイヤレス ヘッドホン)【ウルトラノイズキャンセリング2.0 / 最大55時間音楽再生 / LDAC/ハイレゾ対応 (ワイヤレス/有線) / マルチポイント対応/外音取り込み/マイク内蔵】 ブラック","10990.00","Ankerの先進技術で優れた音質 | ウルトラノイズキャンセリング2.0で静かなリスニング | 最大55時間再生 | LDAC対応でハイレゾ音質 | マルチポイント接続で利便性抜群","0","1"
"B001DDLMN2","2","オーディオテクニカ ATH-EQ300M BK ヘッドホン 有線 耳掛け イヤフィット ブラック","794.00","オーディオテクニカの高音質設計 | 耳掛け式で安定した装着感 | 軽量で長時間使用に最適 | クリアな中高音域を再現 | 日常使いに便利な1.2mケーブル","0","1"
"B016DB2VRO","2","オーディオテクニカ ATH-250AV ヘッドホン 有線 音楽・映画観賞用 軽量 3.5mm接続 ブラック","1436.00","軽量で快適な装着感 | 高品質なサウンドで音楽や映画を堪能 | 3.5mm接続で幅広いデバイスに対応 | 絡まりにくいケーブル設計 | オーディオテクニカの信頼性","0","1"
"B0DRD697NV","1","【ビジネスに最適！スムーズな通話を実現！】Bluetooth ヘッドセット マイク付き Bluetooth5.4+EDR イヤホンマイク オープンイヤー イヤホン ビジネスイヤホン ENCノイズキャンセリング技術 35g超軽量 究極のフィット感 最大20時間連続再生 耳を塞がない 自動ペアリング クリアな通話体験 ハンズフリー通話/テレワーク/Web会議/zoom","3699.00","Bluetooth 5.4で高速接続 | ENCノイズキャンセリングでクリアな通話 | 35gの超軽量オープンイヤーデザイン | 最大20時間再生 | テレワークやビジネス通話に最適","0","1"
"B0DQCTK5HC","1","骨伝導イヤホン こつでんどう イヤホン bluetooth ワイヤレスイヤホン 骨伝導イヤホン bluetooth ブルートゥース イヤホン オープンイヤーイヤホン ランニング ながら聴きイヤホン 耳を塞がないイヤホン 物理ボタン Type-C急速充電 スポーツ/デスクワーク/アウトドア（ブラック）","2299.00","骨伝導技術で耳を塞がず安全 | Bluetooth接続で安定した音楽再生 | 軽量でランニングやアウトドアに最適 | Type-C急速充電対応 | 物理ボタンで簡単操作","0","1"
"B00194HGHG","2","オーディオテクニカ ATH-P100M ヘッドホン 有線 1.5ｍ 開放型 オープン型 オンイヤー グレー","918.00","開放型で自然なサウンド | オーディオテクニカの精密な音響設計 | 1.5mケーブルで日常使いに便利 | 軽量で快適なオンイヤーデザイン | 高コストパフォーマンス","0","1"
"B01I378EJA","2","ソニー(SONY) ヘッドホン MDR-ZX110 : 密閉型 折りたたみ式 ホワイト MDR-ZX110 W","1427.00","ソニーの高品質サウンド | 密閉型で外部ノイズを軽減 | 折りたたみ式で持ち運び便利 | 快適な装着感で長時間使用 | 幅広いデバイスに対応","0","1"
"B0168AXEY4","2","オーディオテクニカ ATH-EP100 楽器用 オンイヤーヘッドホン 密閉型 有線 軽量 楽器練習 電子ピアノ 6.3mmヘッドホン端子変換プラグ付き 【国内正規品】","1818.00","楽器練習に最適な高音質 | 密閉型で集中できる環境 | 軽量設計で長時間の練習に | 6.3mm変換プラグ付きで幅広い機器に対応 | オーディオテクニカの信頼性","0","1"
"B08HYX5NS9","2","Anker Soundcore Life Q30【第2世代】(Bluetooth5.3 ワイヤレス ヘッドホン）【ウルトラノイズキャンセリング/外音取り込みモード/NFC・Bluetooth対応/ハイレゾ対応(AUX接続時) / 最大50時間音楽再生 / マイク内蔵/専用アプリ対応】ブラック","8990.00","ウルトラノイズキャンセリングで静寂なリスニング | 最大50時間再生 | NFCで簡単接続 | ハイレゾ対応で高音質 | Ankerの専用アプリでカスタマイズ可能","0","1"
